Class,Rank,, PvE Challenge,Count,PvP Challenge,Count,Notes
Echelon,13,C,Quickly kill one enemy with CQC and one with an HDG (any order).,1,Mark enemy players.,24,Did not work out of stated order.
Echelon,14,A,Hit 6 headshots in 40 seconds in Golem Island's Camp Phoenix.,2,Kill enemy players with SMG/HDG.,35,
Echelon,14,B,Kill 4 enemies in one use of SONAR VISION.,2,Kill enemy players from less than 30m.,18,
Echelon,14,C,Kill 3 enemies from more than 100m with an HDG without missing a shot.,1,Kill enemy players while unmarked.,34,
Echelon,15,A,Kill 10 enemies without getting detected in Golem Island's No Man's Land.,1,Kill enemy players shocked by Shock Pistol.,18,
Echelon,15,B,Kill 8 enemies with HDG without missing a shot in Golem Island's Prototype Workshop.,2,Kill enemy players detected by Pulse Vision.,14,
Echelon,15,C,Kill 3 enemies in 3 seconds with an HDG in Golem Island's Lavaduct.,3,Win Ghost War rounds.,16,
Echelon,16,A,Kill 10 enemies in Channels province in less than 40 seconds.,1,Kill enemy players with SMG/HDG.,35,
Echelon,16,B,Kill 6 enemies with the Sharp Thunder without reloading.,1,Kill enemy players from less than 60m.,20,
Echelon,16,C,Kill 6 enemies in 18 seconds without getting detected.,2,Mark enemy players.,26,
Echelon,17,A,"Kill 5 enemies with HDG while being detected, without getting hit.",1,Kill enemy players with SMG/HDG.,38,
Echelon,17,B,Leave prone camo and kill 4 enemies with HDG in 15 seconds.,1,Kill enemy players while unmarked.,32,
Echelon,17,C,Run an enemy over with a VHC then quickly kill 2 others with an HDG.,1,Kill 2 different players in the same match.,36,
Echelon,18,A,Kill 10 enemies without getting detected in Mount Hodgson province in less than 60 seconds.,1,Kill enemy players shocked by Shock Pistol.,20,
Echelon,18,B,Hit 15 shots on human enemies with an HDG without missing.,1,Kill enemy players detected by Pulse Vision.,16,
Echelon,18,C,Kill enemies with a thrown frag grenade and an HDG at the same time.,1,Win Ghost War rounds.,18,
Echelon,19,A,Kill 2 enemies quickly after landing with a parachute.,1,Kill enemy players with SMG/HDG.,38,
Echelon,19,B,Hit 5 headshots in 20 seconds.,1,Kill 2 different players in the same match.,12,
Echelon,19,C,Kill 3 enemies at once with the Shock Pistol.,2,Kill enemy players while unmarked.,38,
Echelon,20,A,Kill 10 enemies without getting detected in Restricted Area 01 province in less than 60 seconds.,1,Kill enemy players with SMG/HDG.,40,
Echelon,20,B,Hit 8 headshots with an HDG in 50 seconds.,2,Kill enemy players detected by Pulse Vision.,18,
Echelon,20,C,Kill 6 enemies in one use of SONAR VISION.,2,Kill enemy players from less than 30m.,22,
Engineer,2,A,Kill enemies with a firearm.,5,Kill enemy players with SMG/STG.,1,
Engineer,2,B,Kill 2 enemies in less than 3 seconds.,1,Mark enemy players.,3,
Engineer,3,A,Kill enemies with a firearm.,15,Kill enemy players with LMG.,2,
Engineer,3,B,Kill enemies with DEFENSE DRONE.,1,Win Ghost War rounds.,1,
Engineer,4,A,Kill enemies with a firearm.,20,Kill enemy players with SMG/STG.,3,
Engineer,4,B,Kill 3 enemies in less than 3 seconds.,1,Damage enemy players with Defense Drone.,12,
Engineer,4,C,Buff any player with a supply drone.,1,Mark enemy players.,7,
Engineer,5,A,Kill enemies with a firearm.,25,Kill enemy players with LMG.,6,
Engineer,5,B,Kill enemies with grenades.,5,Win Ghost War rounds.,3,
Engineer,5,C,Kill enemies with DEFENSE DRONE.,3,Damage enemy players with grenade launchers.,4,
Engineer,6,A,Kill enemies with a firearm.,30,Kill enemy players with SMG/STG.,7,
Engineer,6,B,Buff any player with a supply drone.,2,Win Ghost War rounds.,4,
Engineer,6,C,Kill 3 enemies in less than 3 seconds.,2,Mark enemy players.,12,
Engineer,6,D,Kill 3 enemies with explosives in less than 10 seconds.,1,Use Supply Drone to aid teammates.,5,
Engineer,7,A,Kill enemies with a firearm.,40,Kill enemy players with LMG.,9,
Engineer,7,B,Destroy flying drones.,3,Win Ghost War rounds.,5,
Engineer,7,C,Destroy ground drones.,3,Damage enemy players with Defense Drone.,36,
Engineer,7,D,Kill 3 enemies with one use of DEFENSE DRONE.,2,Damage enemy players with grenade launchers.,15,
Engineer,8,A,Kill enemies with a firearm.,50,Kill enemy players with SMG/STG.,9,
Engineer,8,B,Kill enemies with Grenade Launcher (GRL).,3,Damage multiple enemy players.,20,
Engineer,8,C,Kill 10 enemies without dying.,1,Mark enemy players.,20,
Engineer,8,D,Destroy Behemoths.,1,Use Supply Drone to aid teammates.,8,
Engineer,9,A,Kill enemies with a firearm.,60,Kill enemy players with LMG.,12,
Engineer,9,B,Buff any player with a supply drone.,4,Suppress enemy players.,25,
Engineer,9,C,Kill enemies with GRL from more than 100m.,3,Win Ghost War rounds.,9,
Engineer,9,D,Kill 6 enemies with one use of DEFENSE DRONE.,1,Damage enemy players with Defense Drone.,54,
Engineer,10,A,Kill enemies with a firearm.,80,Kill enemy players with SMG/STG.,14,
Engineer,10,B,Kill enemies with GRL from more than 150m.,3,Win Ghost War rounds.,10,
Engineer,10,C,Destroy Behemoths.,2,Damage enemy players with Defense Drone.,70,
Engineer,10,D,Kill 30 enemies without dying.,1,Use Supply Drone to aid teammates.,16,
Engineer,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SMG/STG.,32,
Engineer,11,B,"Kill 8 enemies with a GRL, without taking damage, in Golem Island's Satellite Dish.",1,Win Ghost War rounds.,12,
Engineer,11,C,Kill 2 enemies from more than 150m in one shot of a GRL.,1,Mark enemy players.,22,
Engineer,12,A,Kill 5 enemies with a GRL in less than 20 seconds in Golem Island's Forgotten Sanctuary.,2,Kill enemy players with LMG.,16,
Engineer,12,B,Kill 15 enemies without dying in Golem Island's Camp Salamander.,1,Suppress enemy players.,18,
Engineer,12,C,Kill 4 enemies at once with C4.,1,Damage multiple enemy players.,40,
Engineer,13,A,"Kill 15 enemies with a GRL, without dying, in Golem Island's Camp Phoenix.",1,Kill enemy players with SMG/STG.,32,
Engineer,13,B,Kill 4 enemies with one shot of a GRL.,1,Damage multiple enemy players.,44,
Engineer,13,C,Quickly kill one enemy with CQC and one with a GRL (any order).,1,Win Ghost War rounds.,14,
Engineer,14,A,Kill 20 enemies without dying in Golem Island's Red Phoenix Outpost.,1,Kill enemy players with SMG/STG.,35,
Engineer,14,B,Kill 20 enemies without dying in Golem Island's No Man's Land.,1,Kill enemy players with explosives.,8,
Engineer,14,C,Kill 8 enemies with GRL without reloading or swapping.,1,Mark enemy players.,26,
Engineer,15,A,Kill 20 enemies without dying in Golem Island's Prototype Workshop.,1,Kill enemy players with LMG.,18,
Engineer,15,B,Kill an enemy from more than 200m with a GRL.,1,Kill 2 different players in the same match.,10,
Engineer,15,C,Kill an enemy with a GRL quickly after performing a roll.,1,Win Ghost War rounds.,16,
Engineer,16,A,Kill 10 enemies in Lake Country province in less than 40 seconds.,1,Kill enemy players with SMG/STG.,35,
Engineer,16,B,Kill 5 enemies with a GRL without getting detected.,2,Win Ghost War rounds.,18,
Engineer,16,C,"Quickly get one kill with CQC, one with a GRL, and one with an HDG (any order).",1,Mark enemy players.,32,
Engineer,17,A,Kill 4 enemies with a GRL while detected without getting hit.,1,Kill enemy players with SMG/STG.,38,
Engineer,17,B,Kill 12 enemies without missing a single shot.,1,Suppress enemy players.,20,
Engineer,17,C,Run an enemy over with a vehicle then quickly kill 2 others with a GRL.,1,Kill 2 different players in the same match.,12,
Engineer,18,A,Kill 10 enemies in Wild Coast province in less than 40 seconds.,1,Kill enemy players with LMG.,20,
Engineer,18,B,Kill 10 enemies with a GRL without getting detected.,2,Damage multiple enemy players.,40,
Engineer,18,C,Quickly kill one enemy with a GRL and one with a thrown grenade (any order).,1,Win Ghost War rounds.,18,
Engineer,19,A,Kill 4 enemies with a GRL quickly after landing with a parachute.,1,Kill enemy players with SMG/STG.,38,
Engineer,19,B,Kill 2 enemies from more than 200m in one shot of a GRL.,1,Kill enemy players with explosives.,10,
Engineer,19,C,Kill 12 enemies with GRL without reloading or swapping.,1,Mark enemy players.,46,
Engineer,20,A,Kill 10 enemies in Restricted Area 01 province in less than 40 seconds.,1,Kill enemy players with SMG/STG.,40,
Engineer,20,B,Kill 5 enemies at the same time.,2,Kill 2 different players in the same match.,14,
Engineer,20,C,Destroy 2 Behemoths without dying or fast traveling.,1,Win Ghost War rounds.,20,
Pathfinder,2,A,Kill enemies with a firearm.,5,Kill enemy players with SNR/DMR.,2,
Pathfinder,2,B,Find TACTICAL CACHES.,1,Use an UPLINK PROTOCOL.,2,
Pathfinder,3,A,Kill enemies with a firearm.,15,Deploy ARMAROS INTERFACE.,1,
Pathfinder,3,B,Kill 3 enemies in less than 3 seconds.,1,Deal damage to enemy players with Tactical Strike.,2,
Pathfinder,4,A,Kill enemies with a firearm.,20,Kill enemy players with SNR/DMR.,4,
Pathfinder,4,B,Use an UPLINK PROTOCOL.,1,Gain Kill Assists for enemies scanned with ARMAROS INTERFACE.,2,
Pathfinder,4,C,Deploy ARMAROS INTERFACE.,1,Win Ghost War rounds.,3,
Pathfinder,5,A,Kill enemies with a firearm.,25,Kill enemy players with SNR/DMR.,6,
Pathfinder,5,B,Hit 4 headshots with 4 bullets in a row.,1,Flash enemies while using ARMAROS INTERFACE.,3,
Pathfinder,5,C,Kill 10 enemies without getting detected.,1,Win Ghost War rounds.,4,
Pathfinder,6,A,Kill enemies with a firearm.,30,Kill enemy players with SNR/DMR.,10,
Pathfinder,6,B,Kill enemies with CQC.,3,Win Ghost War rounds.,4,
Pathfinder,6,C,Kill 3 enemies with HDG without reloading or swapping.,2,Deal damage to enemy players with Tactical Strike.,5,
Pathfinder,6,D,Kill 3 enemies with headshots in les than 6 seconds.,1,Scan enemy players with ARMAROS INTERFACE.,4,
Pathfinder,7,A,Kill enemies with a firearm.,40,Kill enemy players with SNR/DMR.,14,
Pathfinder,7,B,Find TACTICAL CACHES.,3,Gain Kill Assists for enemies scanned with ARMAROS INTERFACE.,4,
Pathfinder,7,C,Kill 20 enemies without dying.,1,Win Ghost War rounds.,5,
Pathfinder,7,D,Kill enemies with a headshot from more than 150m.,1,Mark enemy players with the ARMAROS INTERFACE.,6,
Pathfinder,8,A,Kill enemies with a firearm.,50,Kill enemy players with SNR/DMR.,16,
Pathfinder,8,B,Kill enemies with two different firearms in 3 seconds.,3,Flash enemies while using ARMAROS INTERFACE.,6,
Pathfinder,8,C,Kill enemies with a headshot from more than 250 meters away.,1,Win Ghost War rounds.,7,
Pathfinder,8,D,Kill 20 enemies without being detected.,1,Deal damage to enemy players with Tactical Strike.,8,
Pathfinder,9,A,Kill enemies with a firearm.,60,Kill enemy players with SNR/DMR.,18,
Pathfinder,9,B,Kill enemies with a headshot from more than 250 meters away.,2,Use an UPLINK PROTOCOL.,15,
Pathfinder,9,C,Kill 6 enemies with HDG without reloading or swapping.,1,Kill enemy players from more than 100m.,3,
Pathfinder,9,D,Kill 30 enemies without dying.,1,Win Ghost War rounds.,9,
Pathfinder,10,A,Kill enemies with a firearm.,80,Kill enemy players with SNR/DMR.,20,
Pathfinder,10,B,Hit 4 headshots with 4 bullets in a row.,2,Win Ghost War rounds.,10,
Pathfinder,10,C,Kill 10 enemies without getting detected.,2,Scan enemy players with ARMAROS INTERFACE.,8,
Pathfinder,10,D,Destroy Behemoths.,1,Hit two enemy players with a single Tactical Strike.,2,
Pathfinder,11,A,Kill enemies on Golem Island.,40,Kill enemy players with SNR/DMR.,32,
Pathfinder,11,B,Kill 2 enemies with an SNR or DMR in less than 2 seconds.,2,Use an UPLINK PROTOCOL.,20,
Pathfinder,11,C,Quickly kill 2 enemies with an SNR or DMR while they are still in a vehicle.,1,Mark enemy players.,22,
Pathfinder,12,A,Kill enemies with headshots in Golem Island's Heliport.,12,Kill enemy players with SNR/DMR.,32,
Pathfinder,12,B,Kill 6 enemies with an SNR or DMR in less than 24 seconds in Golem Island's Satellite Dish.,1,Kill enemy players from more than 150m.,18,
Pathfinder,12,C,Quickly kill 3 enemies with syncshot drones.,2,Scan enemy players with ARMAROS INTERFACE.,10,
Pathfinder,13,A,Kill enemies from more than 200m in Golem Island's Chemical Refinery.,8,Kill enemy players with SNR/DMR.,34,
Pathfinder,13,B,Kill 4 enemies in a single use of ARMAROS DRONE in Golem Island's Camp Salamander.,1,Deal damage to enemy players with Tactical Strike.,10,
Pathfinder,13,C,Kill enemies with SNR or DMR while hip firing.,3,Win Ghost War rounds.,14,
Pathfinder,14,A,Hit 10 headshots without getting detected in Golem Island's Testing Zone.,1,Kill enemy players with SNR/DMR.,34,
Pathfinder,14,B,Hit 8 headshots in 45 seconds in Golem Island's Missile Site Ruins.,1,Kill enemy players from more than 150m.,20,
Pathfinder,14,C,Hit 3 headshots from more than 200m with 3 bullets.,1,Gain Kill Assists for enemies scanned with ARMAROS INTERFACE.,8,
Pathfinder,15,A,Kill enemies with headshots in Golem Island's Lavaduct.,12,Kill enemy players with SNR/DMR.,36,
Pathfinder,15,B,Hit 4 headshots with 4 bullets in less than 30 seconds.,2,Flash enemies while using ARMAROS INTERFACE.,8,
Pathfinder,15,C,Quickly kill one enemy with a DMR and one with a Rocket Launcher (any order).,1,Win Ghost War rounds.,16,
Pathfinder,16,A,Kill 10 enemies in Silent Mountain province in less than 40 seconds.,1,Kill enemy players with SNR/DMR.,36,
Pathfinder,16,B,Kill enemies with a headshot from more than 350m.,1,Kill enemy players from more than 150m.,24,
Pathfinder,16,C,Hit 2 headshots in 3 seconds.,2,Hit two enemy players with a single Tactical Strike.,4,
Pathfinder,17,A,"Kill 5 enemies with DMR while being detected, without getting hit.",1,Kill enemy players with SNR/DMR.,38,
Pathfinder,17,B,Hit 2 headshots with 2 bullets while hip firing with an SNR or DMR.,1,Use an UPLINK PROTOCOL.,24,
Pathfinder,17,C,Open 2 tactical caches in 45 seconds.,1,Kill enemy players while unmarked.,32,
Pathfinder,18,A,Kill 10 enemies in New Argyll province in less than 40 seconds.,1,Kill enemy players with SNR/DMR.,38,
Pathfinder,18,B,"Hit a head, a chest, and a pair of legs, in this order, without missing a shot.",3,Kill enemy players from more than 150m.,26,
Pathfinder,18,C,Quickly kill 3 enemies from more than 150m after leaving prone camo.,1,Gain Kill Assists for enemies scanned with ARMAROS INTERFACE.,12,
Pathfinder,19,A,Kill 2 enemies with C4 then 2 with SNR or DMR in 10 seconds.,1,Kill enemy players with SNR/DMR.,40,
Pathfinder,19,B,Kill 8 enemies in a single use of ARMAROS DRONE.,1,Flash enemies while using ARMAROS INTERFACE.,12,
Pathfinder,19,C,Kill enemies with a thrown frag grenade and DMR at the same time.,1,Kill enemy players while unmarked.,38,
Pathfinder,20,A,Kill 10 enemies without getting detected in Good Hope Mountain province in less than 60 seconds.,1,Kill enemy players with SNR/DMR.,40,
Pathfinder,20,B,Hit 5 headshots with 5 bullets.,2,Kill enemy players from more than 150m.,30,
Pathfinder,20,C,Hit 5 headshots in 20 seconds.,2,Hit two enemy players with a single Tactical Strike.,8,
