Order,Type,Name,Province,Location,Episode,Mission,Notes,Leads to…
11,Stashes,The Caveman part 2,Whalers Bay,Cave Site,Operation Geenstone,N/A,Base of the cliff on the shore just E of Nor'Wester Cliff.,"Whalers Bay - Traces of Ancient Ruins at E end of Small Valley, W of Ship's Boy Peak. The one S of the stream, there are multiple in this area. Circle is location of intel, x is treasure location."
12,Stashes,The Zoologist Part 1,Driftwood Islets,Skell Technology Location,Operation Geenstone,N/A,"Anchorage Island - map marker at observation blind, collectible at tent camp top of hill to WSW.",Windy Islands - Zoologist Part 2
13,Stashes,The Zoologist Part 2,Windy Islands,Skell Technology Location,Operation Geenstone,N/A,"Whalers Island to S, on cliff on E part of island overlooking Cliff Cove.",Egg Island - Zoologist Part 3
14,Stashes,The Zoologist Part 3,Egg Island,Skell Technology Location,Operation Geenstone,N/A,Observation blind on Guano Islet (not labeled on map) at N end of island.,Fen Bog - Zoologist Part 4
15,Stashes,The Zoologist Part 4,Fen Bog,Skell Technology Location,Operation Geenstone,N/A,Observation blind on shore just SE of Stinking Slough.,New Stirling - Zoologist Par 6
16,Stashes,The Zoologist Part 5,Lake Country,Skell Technology Location,Operation Geenstone,N/A,Observation tower/lab on SE slope of Steadman Mountain.,Driftwood Islets - Zoologist Part 1
17,Stashes,The Zoologist Part 6,New Stirling,Skell Technology Location,Operation Geenstone,N/A,Observation tower on NW end of Ardmore Ridge.,Lake Country - Zoologist Part 5
18,Stashes,The Castaway part 1,Sinking Country,Abandoned Site,Operation Geenstone,N/A,"Island in Typhoon Bay, NW of Anit-Aircraft Ruins.",Infinity - Castaway Part 4
19,Stashes,The Castaway part 2,Wild Coast,Abandoned Site,Operation Geenstone,N/A,"SW of Lake Boomer, NNE of Drone Station W031.",Channels - Castaway Part 5
20,Stashes,The Castaway part 3,Mount Hodgson,Abandoned Site,Operation Geenstone,N/A,Just NW of Eden Forest.,Sinking Country - Castaway Part 1
21,Stashes,The Castaway part 4,Infinity,Abandoned Site,Operation Geenstone,N/A,On Lockett Cliff.,Wild Coast - Castaway Part 2
22,Stashes,The Castaway part 5,Channels,Abandoned Site,Operation Geenstone,N/A,"High point between Harbor Cove, Landing Bay, and Bad Passage, S end of province.",Lake Country - Castaway Part 6
23,Stashes,The Castaway part 6,Lake Country,Abandoned Site,Operation Geenstone,N/A,Middle of the W shore of Blackwater Lake.,Mount Hodgson - Castaway Part 3
24,Stashes,U.S. Hidden Shelter part 1,Sinking Country,Cold War Site,Operation Geenstone,N/A,"E of Drone Station W052, W of Pelican Bank.","Sinking Country - Cold War Site 2km to the N, NE of Equipment Depot, on Gaer Arm."
25,Stashes,U.S. Hidden Shelter part 2,Good Hope Mountain,Cold War Site,Operation Geenstone,N/A,"NE end of Misty Ridge, W of the bivouac by same name.","Good Hope Mountain - Cold War Site near border of Restricted Area 01, NW of Camp Ferret at the E end of Generals Valley."
26,Stashes,U.S. Hidden Shelter part 3,Channels,Cold War Site,Operation Geenstone,N/A,"S end of Anchor Island, just NE of the map label.",Channels - Cold War Site at N end of Little Island.
27,Stashes,U.S. Hidden Shelter part 4,Restricted Area 01,Cold War Site,Operation Geenstone,N/A,W end of Gold Digger Range. Climb to top of tower and jump down to roof to enter.,Restricted Area 01 - Cold War Site S of Generals Valley.
28,Stashes,Communist Spy part 1,Channels,Cold War Site,Operation Geenstone,N/A,SW of Legion swarm tower S of Channels Port.,Restricted Area 01 - Spy Part 5
29,Stashes,Communist Spy part 2,Channels,Cold War Site,Operation Geenstone,N/A,Hillside across channel to the NW of Fuel Storage.,Restricted Area 01 - Spy Part 6
30,Stashes,Communist Spy part 3,Good Hope Mountain,Cold War Site,Operation Geenstone,N/A,"Just NE of Moon Lake, crawl through entrance on W side.",Channels - Spy Part 2
31,Stashes,Communist Spy part 4,Seal Islands,Cold War Site,Operation Geenstone,N/A,"Just SE of Checkpoint Shark Bravo, underground bunker a bit up the hill.",Channels - Spy Part 1
32,Stashes,Communist Spy part 5,Restricted Area 01,Cold War Site,Operation Geenstone,N/A,Rock bunker between Mount Elliot and Pikes Peak.,Good Hope Mountain - Spy Part 3
33,Stashes,Communist Spy part 6,Restricted Area 01,Cold War Site,Operation Geenstone,N/A,"Wooden tower in road switchbacks, SSE of Forlorn Hope Highland.",Channels - Spy Part 7
34,Stashes,Communist Spy part 7,Channels,Cold War Site,Operation Geenstone,N/A,"Island off West Cape, technically outside province. Two ladders on W side. On barrel.",Seal Islands - Spy Part 4
35,Stashes,Gold Prospector part 1,Silent Mountain,Abandoned Site,Operation Geenstone,N/A,"Jonah Cave, W of Thunder Mountain.",Restricted Area 01 - Gold Part 5
36,Stashes,Gold Prospector part 2,Silent Mountain,Abandoned Site,Operation Geenstone,N/A,SE of Fortune Lake.,Restricted Area 01 - Gold Part 8
37,Stashes,Gold Prospector part 3,Silent Mountain,Abandoned Site,Operation Geenstone,N/A,"NW of Impetuous Stream, just SE of Behemoth Defense Area in N corner of province.",Restricted Area 01 - Gold Part 9
38,Stashes,Gold Prospector part 4,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,"Shack just SE of Behemoth Defense Area, NNE of Gold Trail Testing Zone.",Silent Mountain - Gold Part 3
39,Stashes,Gold Prospector part 5,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,"Mine NE of Mount Fools, SSE of Gold Mountain.",Silent Mountain - Gold Part 2
40,Stashes,Gold Prospector part 6,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,"Mine in Incomers Valley, S of Mount Elliot.",Restricted Area 01 - Gold Part 7
41,Stashes,Gold Prospector part 7,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,On stream just S of Teardrop Pond.,Silent Mountain - Gold Part 1
42,Stashes,Gold Prospector part 8,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,"Shack on top of Pancake Range, just W of bivouac.",Restricted Area 01 - Gold Part 4
43,Stashes,Gold Prospector part 9,Restricted Area 01,Abandoned Site,Operation Geenstone,N/A,Cave/mine off the natural tunnel under/NE of Drone Station W161.,Restricted Area 01 - Gold Part 6
44,Stashes,Three Tombs,Lake Country,Traces of Ancient Ruins,Operation Geenstone,N/A,"On SW shore of lake just N of Sheep Moor, SE of Juice Processing Center.","Lake Country - Three separate Traces of Ancient Ruins. 1) NW is head of Fortune River, N of Trough Lake where four provinces meet. 2) SW is middle of Grandview Range on border with Restricted Area 01. 3) NE is N end of unamed lake between Skell Security R&D and Assembly Hall."
45,Stashes,Brothers Legacy,New Stirling,Abandoned Site,Operation Geenstone,N/A,"W of Round Top, S of Drone Station W13.","Inside the church you're standing behind. (Really guys? Couldn't stick it in a gravesite or something, just there in the open where most probably open the chest before even finding the clue?)"
46,Stashes,Crashed Drones,Restricted Area 01,Training Center,Operation Geenstone,N/A,Top of observation tower.,Restricted Area 01 - Four separate Skell Technology Locations. 1) NE of the Pleasant Island Bivouac. 2) SW of Camp Fox. 3) N of the E end of Blackburn Ridge. 4) SE of Training Center (Deep State mission goes here).
47,Stashes,The Murderer,Wild Coast,Abandoned Site,Operation Geenstone,N/A,"Immediately S of Mac Pherson Gully, up on the hill/ridge.","Wild Coast - Abandoned Site to the N, on cliff over Ancient Harbor."
48,Stashes,Moa Bonepit part 1,Wild Coast,Traces of Ancient Ruins,Operation Geenstone,N/A,"NE of Lochnagar Falls, SE of Murmur Patrol Area.","Wild Coast - Traces of Ancient Ruins on the NW edge of Mocha Dick Heights, NE of the Behemoth Defense Area."
49,Stashes,Moa Bonepit part 2,Lake Country,Traces of Ancient Ruins,Operation Geenstone,N/A,"E shore of lake, SE of Shepher Wood, N of Skell Technology Head Office.","Infinity - Traces of Ancient Ruins at the W edge of Hanged Man Wood, SE of Diggers Gully Bivouac."
50,Stashes,Moa Bonepit part 3,Channels,Traces of Ancient Ruins,Operation Geenstone,N/A,NW side of Calm Peak.,"Unmarked camp location along S edge of Grey Glacier, below the 'ie'. Skell chest will show on map with proximity?"
51,Stashes,Gambling Den part 1,Wild Coast,Homesteader Site,Operation Geenstone,N/A,Along the road N of Wild Coast Freight Yard.,Wild Coast - Homesteader Site NE of Long Valley / Storage Depot.
52,Stashes,Gambling Den part 2,New Argyll,Abandoned Site,Operation Geenstone,N/A,Between Fish Processing Center and Meal Packaging Center.,Spot marked on the map is a modern Skell Technology Location which doesn't make sense as a Gambling Den. However there are two nearby alternates that fit. 1) 590m to the SW on the other side of the winery in New Argyll is an Abandoned Site which is the most likely candidate - looks like a tiny shack on the surface but stairs lead down into a wooden bunker that is definitely a Gambling Den. 2) 1km to the E between Fen Bog Testing Zone and Alpha Centauri Residences in Fen Bog is another Abandoned Site - two story house you have to climb into the second floor of and is also definitely a Gambling Den. Both have Skell Credit chests.
53,Stashes,Gambling Den part 3,Infinity,Abandoned Site,Operation Geenstone,N/A,"Just W of Polaris Residences, across the lake.","Spot marked on the map is a modern Sentinel facility, Control Station Viper 04, which doesn't make sense as a Gambling Den. However there are two nearby alternatives that fit. 1) 310m WSW in Infinity is an Abandoned Site - it's a standard cabin but instead of a drone on the table there is a card game, but it doesn't really look like a Gambling Den per se. 2) The same second option for Gambling Den 2 is 650m to the W and would more fit with being a Gambling Den."
54,Stashes,Gambling Den part 4,Channels,Abandoned Site,Operation Geenstone,N/A,"E short of Petrel Island, NE of Doubtful Sound.","Channels - Abandoned Site, cabin on the N short of the unamed lake at the top of the cliff N / across the channel from Fuel Storage."
55,Stashes,Mountain Expedition,Silent Mountain,Skell Technology Location,Operation Geenstone,N/A,Near the top of Sceptre Peak.,"Nowhere? You can follow prints in the snow downhill and find two others near a boulder, then continue on to a basecamp with an equipment chest (both marked as a Skell Technology Locations just like where you find the clue). But the clue says they were trekking Mount Hodgson and strayed from the path. They're on Sceptre Peak with a Behemoth Defense Area between them and Hodgson, but did not locate any additional chests trying to complete that route, which is inconsistent with other stashes/treasure leads."
56,Stashes,Map to the first stone,Silent Mountain,Unmarked location,Tomb Raider,N/A,"Cave with Ancients decorations SE of Pumping Station, N of the three pipes to Auroa Data Farm.",First Serpent Stone / Map to the second stone
57,Stashes,Map to the second stone,Wild Coast,Unmarked location,Tomb Raider,N/A,"Sea stack NW of Observatory Hill (access only from air, you can land a chopper on it).",Second Serpent Stone / Map to the third stone
58,Stashes,Map to the third stone,Smuggler Coves,Unmarked location,Tomb Raider,N/A,Ancients alter on cliff overlooking Galleon Cove; bowsprit on shipwreck points at it.,Third Serpent Stone
